K1.1,K1.2,F2.1,F2.2,K1.6,K1.8,F2.9,F2.10,P3.2,Cluster
4.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,0
5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,1
4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,0
4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,1
5.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,0
5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,1
5.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,1
5.0,5.0,5.0,3.0,3.0,1.5,1.5,5.0,5.0,1
5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,1
5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1
5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,1
5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,0
4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,0
5.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,1
5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1
5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0
5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,1
5.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,1
5.0,4.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,1
5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,1
5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1
5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,1
5.0,4.0,3.0,3.0,2.0,1.5,3.0,4.0,4.0,0
5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,1
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1
5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,1
5.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,1
4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,0
4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,0
5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0
5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1
5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0
3.0,2.5,4.0,4.0,4.0,2.0,1.5,2.5,3.0,0
5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1
4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,0
